-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 09/01/2025 through 09/30/2025 in LST
Location: Latitude  43.2714   Longitude -2.9415 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 106.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,9,1,0,0.0
2025,9,1,1,0.0
2025,9,1,2,0.0
2025,9,1,3,0.0
2025,9,1,4,0.0
2025,9,1,5,3.03
2025,9,1,6,68.68
2025,9,1,7,214.6
2025,9,1,8,381.25
2025,9,1,9,529.78
2025,9,1,10,559.4
2025,9,1,11,625.3
2025,9,1,12,678.17
2025,9,1,13,595.05
2025,9,1,14,480.52
2025,9,1,15,460.55
2025,9,1,16,265.33
2025,9,1,17,116.57
2025,9,1,18,12.88
2025,9,1,19,0.0
2025,9,1,20,0.0
2025,9,1,21,0.0
2025,9,1,22,0.0
2025,9,1,23,0.0
2025,9,2,0,0.0
2025,9,2,1,0.0
2025,9,2,2,0.0
2025,9,2,3,0.0
2025,9,2,4,0.0
2025,9,2,5,2.47
2025,9,2,6,52.3
2025,9,2,7,170.18
2025,9,2,8,316.35
2025,9,2,9,429.88
2025,9,2,10,505.85
2025,9,2,11,584.88
2025,9,2,12,566.53
2025,9,2,13,579.67
2025,9,2,14,503.98
2025,9,2,15,338.25
2025,9,2,16,206.65
2025,9,2,17,81.7
2025,9,2,18,10.9
2025,9,2,19,0.0
2025,9,2,20,0.0
2025,9,2,21,0.0
2025,9,2,22,0.0
2025,9,2,23,0.0
2025,9,3,0,0.0
2025,9,3,1,0.0
2025,9,3,2,0.0
2025,9,3,3,0.0
2025,9,3,4,0.0
2025,9,3,5,0.0
2025,9,3,6,99.05
2025,9,3,7,238.75
2025,9,3,8,394.6
2025,9,3,9,537.72
2025,9,3,10,616.42
2025,9,3,11,584.15
2025,9,3,12,542.33
2025,9,3,13,455.23
2025,9,3,14,398.88
2025,9,3,15,247.18
2025,9,3,16,160.85
2025,9,3,17,72.03
2025,9,3,18,8.73
2025,9,3,19,0.0
2025,9,3,20,0.0
2025,9,3,21,0.0
2025,9,3,22,0.0
2025,9,3,23,0.0
