datetime,hour,month,dayofyear,solar_irradiation,ambient_temperature,solar_energy_generated,energy_consumption,net_energy
2025-01-01 00:00:00,0,1,1,0.0,6.560509872233139,0.0,0.6021391498508402,-0.6021391498508402
2025-01-01 01:00:00,1,1,1,0.0,5.824868003119624,0.0,0.4878727693581958,-0.4878727693581958
2025-01-01 02:00:00,2,1,1,0.0,7.851984893124012,0.0,0.5062565517823681,-0.5062565517823681
2025-01-01 03:00:00,3,1,1,0.0,6.549899253472104,0.0,0.389164630590649,-0.389164630590649
2025-01-01 04:00:00,4,1,1,0.0,8.440873104565988,0.0,0.2266445129321527,-0.2266445129321527
2025-01-01 05:00:00,5,1,1,0.0,11.692101859628655,0.0,0.3533744031179781,-0.3533744031179781
2025-01-01 06:00:00,6,1,1,0.0,7.033270953233358,0.0,0.4902566399452227,-0.4902566399452227
2025-01-01 07:00:00,7,1,1,0.0,9.138954079552512,0.0,0.7019998842126055,-0.7019998842126055
2025-01-01 08:00:00,8,1,1,100.10236455578668,10.50016979792246,0.4504606405010401,0.5779702728260944,-0.1275096323250542
2025-01-01 09:00:00,9,1,1,257.8064793878176,10.979886377150695,1.160129157245179,0.7512022052944038,0.4089269519507752
2025-01-01 10:00:00,10,1,1,294.619881908547,9.888585282535114,1.3257894685884617,0.3041306197256393,1.0216588488628222
2025-01-01 11:00:00,11,1,1,368.3092918898528,9.865187521976914,1.6573918135043375,0.2108245184022267,1.446567295102111
2025-01-01 12:00:00,12,1,1,401.9222083927913,10.084266509736132,1.808649937767561,0.33720165622931,1.4714482815382506
2025-01-01 13:00:00,13,1,1,442.9384725310986,12.633899369978728,1.993223126389944,0.3330717804495586,1.6601513459403852
2025-01-01 14:00:00,14,1,1,486.79425514206906,8.84283913403095,2.190574148139311,0.3792897940194076,1.8112843541199035
2025-01-01 15:00:00,15,1,1,471.51897208154327,13.372833005843104,2.1218353743669445,0.3805320726168363,1.741303301750108
2025-01-01 16:00:00,16,1,1,373.38450597341614,12.618959921808711,1.6802302768803727,0.5286652970634981,1.1515649798168748
2025-01-01 17:00:00,17,1,1,375.7562878141403,10.618489651170398,1.6909032951636314,0.4899143751811869,1.2009889199824444
2025-01-01 18:00:00,18,1,1,267.84108182792755,9.71814676396253,1.205284868225674,0.8205824722579215,0.3847023959677526
2025-01-01 19:00:00,19,1,1,80.45070340316424,11.719899468806377,0.3620281653142391,0.7367625378186566,-0.3747343725044175
2025-01-01 20:00:00,20,1,1,0.0,14.122867382440592,0.0,0.8960646828839023,-0.8960646828839023
2025-01-01 21:00:00,21,1,1,0.0,14.282586270797276,0.0,0.7542118429914636,-0.7542118429914636
2025-01-01 22:00:00,22,1,1,0.0,14.210922700927108,0.0,0.8254020865506146,-0.8254020865506146
2025-01-01 23:00:00,23,1,1,0.0,11.377575173473453,0.0,0.3411123546961779,-0.3411123546961779
2025-01-02 00:00:00,0,1,2,0.0,4.145716023446399,0.0,0.4254354040725629,-0.4254354040725629
2025-01-02 01:00:00,1,1,2,0.0,11.501070605575524,0.0,0.3711876925470506,-0.3711876925470506
2025-01-02 02:00:00,2,1,2,0.0,6.7163888741509,0.0,0.4751743308179755,-0.4751743308179755
2025-01-02 03:00:00,3,1,2,0.0,7.011307493036219,0.0,0.2244721384803179,-0.2244721384803179
2025-01-02 04:00:00,4,1,2,0.0,7.409298183725956,0.0,0.4599063188375277,-0.4599063188375277
2025-01-02 05:00:00,5,1,2,0.0,9.284715468552797,0.0,0.4624828682361281,-0.4624828682361281
2025-01-02 06:00:00,6,1,2,0.0,8.785784118744685,0.0,0.362268988149919,-0.362268988149919
2025-01-02 07:00:00,7,1,2,54.4186937848021,6.265013830104272,0.2448841220316094,0.7863970473341306,-0.5415129253025212
2025-01-02 08:00:00,8,1,2,69.21521258025093,9.15533589083401,0.3114684566111292,0.6653957793302556,-0.3539273227191264
2025-01-02 09:00:00,9,1,2,154.3373276461556,10.16481510970996,0.6945179744077001,0.7843262242447513,-0.0898082498370511
2025-01-02 10:00:00,10,1,2,286.5749066014726,13.601124112736048,1.289587079706627,0.3470573826064561,0.9425296971001706
